Date,Bitcoin Price Percentage Change (%),Bitcoin Price (USD)
2019-01-11,0.26391845829702726,3635.69
2019-01-12,-0.4477829517918249,3619.41
2019-01-13,-2.9057222033425356,3514.24
2019-01-14,4.26692542342015,3664.19
2019-01-15,-2.276901579885318,3580.76
2019-01-16,0.8084875836414565,3609.71
2019-01-17,0.8571325674361666,3640.65
2019-01-18,-0.9009380193097436,3607.85
2019-01-19,2.073256925869983,3682.65
2019-01-20,-3.9770274123253646,3536.19
2019-01-21,-0.12527607396660914,3531.76
2019-01-22,1.281797177611162,3577.03
2019-01-23,-0.6715068087212012,3553.01
2019-01-24,0.4491965966884298,3568.97
